frame,person_box,alert,reason
95,"(670, 189, 796, 376)",0,none
95,"(501, 0, 530, 44)",0,none
96,"(168, 35, 251, 251)",0,none
96,"(666, 189, 796, 379)",0,none
96,"(696, 80, 774, 214)",0,none
97,"(186, 30, 256, 248)",0,none
97,"(654, 84, 749, 223)",0,none
97,"(670, 187, 803, 388)",0,none
97,"(480, 1, 514, 61)",0,none
98,"(186, 40, 252, 249)",0,none
98,"(669, 188, 797, 377)",0,none
98,"(700, 86, 781, 220)",0,none
98,"(480, 1, 530, 63)",0,none
99,"(188, 40, 251, 245)",0,none
99,"(702, 83, 782, 219)",0,none
99,"(668, 184, 797, 380)",0,none
100,"(190, 39, 251, 246)",0,none
100,"(668, 184, 797, 378)",0,none
100,"(702, 83, 781, 218)",0,none
100,"(497, 0, 519, 51)",0,none
101,"(189, 39, 252, 248)",0,none
101,"(668, 187, 799, 379)",0,none
101,"(705, 83, 780, 211)",0,none
101,"(454, 0, 494, 57)",0,none
102,"(190, 43, 252, 247)",0,none
102,"(461, 1, 506, 61)",0,none
102,"(670, 185, 797, 379)",0,none
102,"(698, 82, 781, 215)",0,none
102,"(410, 0, 444, 38)",0,none
102,"(537, 0, 589, 67)",0,none
103,"(190, 45, 252, 247)",0,none
103,"(669, 183, 796, 385)",0,none
103,"(434, 0, 474, 41)",0,none
103,"(482, 2, 528, 64)",0,none
103,"(699, 82, 781, 216)",0,none
104,"(189, 42, 252, 246)",0,none
104,"(668, 187, 799, 386)",0,none
104,"(704, 81, 780, 217)",0,none
105,"(192, 38, 252, 246)",0,none
105,"(669, 188, 798, 388)",0,none
105,"(692, 81, 770, 218)",0,none
106,"(193, 40, 252, 247)",0,none
106,"(668, 185, 799, 388)",0,none
106,"(712, 86, 780, 206)",0,none
106,"(479, 0, 515, 54)",0,none
107,"(189, 38, 251, 245)",0,none
107,"(670, 182, 798, 383)",0,none
107,"(692, 87, 770, 217)",0,none
107,"(476, 1, 517, 62)",0,none
108,"(190, 34, 251, 246)",0,none
108,"(678, 91, 768, 218)",0,none
108,"(674, 175, 809, 391)",0,none
108,"(488, 0, 536, 63)",0,none
109,"(190, 28, 252, 247)",0,none
109,"(681, 75, 762, 219)",0,none
109,"(673, 175, 791, 378)",0,none
110,"(188, 34, 252, 248)",0,none
